"merchant_sku","merchant_sku_norm","components","created_at","updated_at"
"2HIM2SPU","2HIM2SPU","[{""qty"":2,""component_merchant_sku"":""COF1"",""component_merchant_sku_norm"":""COF1""},{""qty"":2,""component_merchant_sku"":""spr/x1"",""component_merchant_sku_norm"":""SPR/X1""}]","2025-12-15 08:15:58.312358","2025-12-15 08:15:58.312358"
"3COF2SPU","3COF2SPU","[{""qty"":3,""component_merchant_sku"":""COF1"",""component_merchant_sku_norm"":""COF1""},{""qty"":2,""component_merchant_sku"":""spr/x1"",""component_merchant_sku_norm"":""SPR/X1""}]","2025-12-15 08:16:33.007127","2025-12-15 08:16:33.007127"
"3HIM3HER","3HIM3HER","[{""qty"":3,""component_merchant_sku"":""COF1"",""component_merchant_sku_norm"":""COF1""},{""qty"":3,""component_merchant_sku"":""HERCOF1"",""component_merchant_sku_norm"":""HERCOF1""},{""qty"":1,""component_merchant_sku"":""TP-COF"",""component_merchant_sku_norm"":""TP-COF""},{""qty"":1,""component_merchant_sku"":""TP-HERCOF"",""component_merchant_sku_norm"":""TP-HERCOF""}]","2025-12-15 08:05:16.333844","2025-12-15 08:05:16.333844"
"E-2HERHBLISS","E-2HERHBLISS","[{""qty"":2,""component_merchant_sku"":""HERCOF1"",""component_merchant_sku_norm"":""HERCOF1""},{""qty"":1,""component_merchant_sku"":""HBLISS"",""component_merchant_sku_norm"":""HBLISS""}]","2025-12-15 08:10:30.903434","2025-12-15 08:10:30.903434"
"E-2HIMSPU","E-2HIMSPU","[{""qty"":2,""component_merchant_sku"":""COF1"",""component_merchant_sku_norm"":""COF1""},{""qty"":1,""component_merchant_sku"":""spr/x1"",""component_merchant_sku_norm"":""SPR/X1""}]","2025-12-15 08:13:59.787037","2025-12-15 08:13:59.787037"
"E-2HIMVGO","E-2HIMVGO","[{""qty"":2,""component_merchant_sku"":""COF1"",""component_merchant_sku_norm"":""COF1""},{""qty"":1,""component_merchant_sku"":""VGOMX"",""component_merchant_sku_norm"":""VGOMX""}]","2025-12-15 08:09:39.078373","2025-12-15 08:09:39.078373"
"E-3HIM3HER","E-3HIM3HER","[{""qty"":3,""component_merchant_sku"":""COF1"",""component_merchant_sku_norm"":""COF1""},{""qty"":3,""component_merchant_sku"":""HERCOF1"",""component_merchant_sku_norm"":""HERCOF1""}]","2025-12-15 08:08:35.397582","2025-12-15 08:08:35.397582"
"E-3HIMSPU","E-3HIMSPU","[{""qty"":3,""component_merchant_sku"":""COF1"",""component_merchant_sku_norm"":""COF1""},{""qty"":1,""component_merchant_sku"":""spr/x1"",""component_merchant_sku_norm"":""SPR/X1""}]","2025-12-15 08:13:44.109792","2025-12-15 08:13:44.109792"
"E-HER3CC-V1","E-HER3CC-V1","[{""qty"":3,""component_merchant_sku"":""HERCOF1"",""component_merchant_sku_norm"":""HERCOF1""},{""qty"":1,""component_merchant_sku"":""COFFEE CUP V1"",""component_merchant_sku_norm"":""COFFEE CUP V1""}]","2025-12-15 08:20:42.583673","2025-12-15 08:20:42.583673"
"E-HER4","E-HER4","[{""qty"":4,""component_merchant_sku"":""HERCOF1"",""component_merchant_sku_norm"":""HERCOF1""}]","2025-12-15 08:07:04.006709","2025-12-15 08:07:04.006709"
"E-HER6","E-HER6","[{""qty"":6,""component_merchant_sku"":""HERCOF1"",""component_merchant_sku_norm"":""HERCOF1""}]","2025-12-15 08:14:28.290914","2025-12-15 08:14:28.290914"
"E-HER8","E-HER8","[{""qty"":8,""component_merchant_sku"":""HERCOF1"",""component_merchant_sku_norm"":""HERCOF1""}]","2025-12-15 08:14:50.444957","2025-12-15 08:14:50.444957"
"E-HIM3CC-V1","E-HIM3CC-V1","[{""qty"":3,""component_merchant_sku"":""COF1"",""component_merchant_sku_norm"":""COF1""},{""qty"":1,""component_merchant_sku"":""COFFEE CUP V1"",""component_merchant_sku_norm"":""COFFEE CUP V1""}]","2025-12-15 08:21:07.732913","2025-12-15 08:21:07.732913"
"E-HIM8","E-HIM8","[{""qty"":8,""component_merchant_sku"":""COF1"",""component_merchant_sku_norm"":""COF1""}]","2025-12-15 08:12:55.025351","2025-12-15 08:12:55.025351"
"E-HIMVGO","E-HIMVGO","[{""qty"":1,""component_merchant_sku"":""COF1"",""component_merchant_sku_norm"":""COF1""},{""qty"":1,""component_merchant_sku"":""VGOMX"",""component_merchant_sku_norm"":""VGOMX""}]","2025-12-15 08:09:16.848275","2025-12-15 08:09:16.848275"
"E-SPU2","E-SPU2","[{""qty"":2,""component_merchant_sku"":""spr/x1"",""component_merchant_sku_norm"":""SPR/X1""}]","2025-12-15 08:12:27.588457","2025-12-15 08:12:27.588457"
"HER1","HER1","[{""qty"":1,""component_merchant_sku"":""HERCOF1"",""component_merchant_sku_norm"":""HERCOF1""}]","2025-12-15 08:37:31.77862","2025-12-15 08:37:31.77862"
"HER3","HER3","[{""qty"":3,""component_merchant_sku"":""HERCOF1"",""component_merchant_sku_norm"":""HERCOF1""}]","2025-12-15 08:00:55.554672","2025-12-15 08:00:55.554672"
"HER3LIVE","HER3LIVE","[{""qty"":3,""component_merchant_sku"":""HERCOF1"",""component_merchant_sku_norm"":""HERCOF1""},{""qty"":1,""component_merchant_sku"":""TP-COF"",""component_merchant_sku_norm"":""TP-COF""},{""qty"":1,""component_merchant_sku"":""TP-HERCOF"",""component_merchant_sku_norm"":""TP-HERCOF""}]","2025-12-15 08:07:55.845702","2025-12-15 08:07:55.845702"
"HER3SHA-V2","HER3SHA-V2","[{""qty"":3,""component_merchant_sku"":""HERCOF1"",""component_merchant_sku_norm"":""HERCOF1""},{""qty"":1,""component_merchant_sku"":""SHAKER"",""component_merchant_sku_norm"":""SHAKER""}]","2025-12-15 08:17:06.160865","2025-12-15 08:17:06.160865"
"HER3TP","HER3TP","[{""qty"":3,""component_merchant_sku"":""HERCOF1"",""component_merchant_sku_norm"":""HERCOF1""},{""qty"":1,""component_merchant_sku"":""TP-HERCOF"",""component_merchant_sku_norm"":""TP-HERCOF""}]","2025-12-15 08:01:18.360597","2025-12-15 08:01:18.360597"
"HER8","HER8","[{""qty"":8,""component_merchant_sku"":""HERCOF1"",""component_merchant_sku_norm"":""HERCOF1""}]","2025-12-15 08:03:12.888939","2025-12-15 08:03:12.888939"
"HIM1","HIM1","[{""qty"":1,""component_merchant_sku"":""COF1"",""component_merchant_sku_norm"":""COF1""}]","2025-12-15 08:11:44.78944","2025-12-15 08:11:44.78944"
"HIM3","HIM3","[{""qty"":3,""component_merchant_sku"":""COF1"",""component_merchant_sku_norm"":""COF1""}]","2025-12-15 07:58:37.811745","2025-12-15 07:58:37.811745"
"HIM3LIVE","HIM3LIVE","[{""qty"":3,""component_merchant_sku"":""COF1"",""component_merchant_sku_norm"":""COF1""},{""qty"":1,""component_merchant_sku"":""TP-COF"",""component_merchant_sku_norm"":""TP-COF""},{""qty"":1,""component_merchant_sku"":""TP-HERCOF"",""component_merchant_sku_norm"":""TP-HERCOF""}]","2025-12-15 08:07:25.698586","2025-12-15 08:07:25.698586"
"HIM3SHA/V2","HIM3SHA/V2","[{""qty"":3,""component_merchant_sku"":""COF1"",""component_merchant_sku_norm"":""COF1""},{""qty"":1,""component_merchant_sku"":""SHAKER"",""component_merchant_sku_norm"":""SHAKER""}]","2025-12-15 08:18:32.310183","2025-12-15 08:18:32.310183"
"HIM3TP","HIM3TP","[{""qty"":3,""component_merchant_sku"":""COF1"",""component_merchant_sku_norm"":""COF1""},{""qty"":1,""component_merchant_sku"":""TP-COF"",""component_merchant_sku_norm"":""TP-COF""}]","2025-12-15 07:59:55.953655","2025-12-15 07:59:55.953655"
