"merchant_sku","merchant_sku_norm","product_category","sale_class","created_at","updated_at"
"COF1","COF1","HIM Coffee","sale","2025-12-15 07:33:25.48386","2025-12-15 15:35:11.374949"
"COFCUP-V1","COFCUP-V1","Coffee Cup","free gift","2025-12-15 07:39:17.246037","2025-12-15 07:39:17.246037"
"COFFEE CUP V1","COFFEE CUP V1","Coffee Cup","free gift","2025-12-15 07:42:02.61189","2025-12-15 07:42:02.61189"
"HBLISS","HBLISS","HER Bliss","sale","2025-12-15 07:37:33.494973","2025-12-15 07:37:33.494973"
"HERCOF1","HERCOF1","HER Coffee","sale","2025-12-15 07:33:41.53389","2025-12-15 15:35:11.375101"
"SHAKER","SHAKER","Shaker","free gift","2025-12-15 07:38:00.761395","2025-12-15 07:38:00.761395"
"TP-COF","TP-COF","HIM Coffee Trial Pack","free tester","2025-12-15 07:34:35.838469","2025-12-15 07:34:35.838469"
"TP-HERCOF","TP-HERCOF","HER Coffee Trial Pack","free tester","2025-12-15 07:36:21.260809","2025-12-15 07:36:21.260809"
"TUMB-V2-BLACK","TUMB-V2-BLACK","Tumbler","free gift","2025-12-15 07:40:15.786311","2025-12-15 07:40:15.786311"
"TUMB-V2-GOLD","TUMB-V2-GOLD","Tumbler","free gift","2025-12-15 07:39:41.602333","2025-12-15 07:39:41.602333"
"VGOMX","VGOMX","Vigomax","sale","2025-12-15 07:36:36.964651","2025-12-15 07:36:36.964651"
"buku/BK","BUKU/BK","Buku","semi","2025-12-15 07:41:09.954146","2025-12-15 07:41:09.954146"
"buku/SM","BUKU/SM","Buku","semi","2025-12-15 07:41:21.439922","2025-12-15 07:41:21.439922"
"spr/x1","SPR/X1","Spray Up","sale","2025-12-15 07:33:01.794489","2025-12-15 07:33:01.794489"
